method,path,body,single_q,double_q,dashes,braces,spaces,percentages,semicolons,angle_brackets,special_chars,path_length,body_length,badwords_count,class
POST,/doLogin,uid=ZAP&passw=ZAP&btnSubmit=Login,0,0,0,0,0,0,0,0,0,8,33,1,bad
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,124,0,bad
GET,/admin/clients.xls,,0,0,0,0,0,0,0,0,0,18,0,1,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm,,0,0,0,0,3,0,0,0,0,57,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_deposit.htm,,0,0,0,0,3,0,0,0,0,82,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal.htm,,0,0,0,0,3,0,0,0,0,74,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_checking.htm,,0,0,0,0,3,0,0,0,0,83,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_loans.htm,,0,0,0,0,3,0,0,0,0,80,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_cards.htm,,0,0,0,0,3,0,0,0,0,80,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_investments.htm,,0,0,0,0,3,0,0,0,0,86,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_other.htm,,0,0,0,0,3,0,0,0,0,80,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business.htm,,0,0,0,0,3,0,0,0,0,74,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_deposit.htm,,0,0,0,0,3,0,0,0,0,82,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_lending.htm,,0,0,0,0,3,0,0,0,0,82,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_cards.htm,,0,0,0,0,3,0,0,0,0,80,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_insurance.htm,,0,0,0,0,3,0,0,0,0,84,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_retirement.htm,,0,0,0,0,3,0,0,0,0,85,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_other.htm,,0,0,0,0,3,0,0,0,0,80,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside.htm,,0,0,0,0,3,0,0,0,0,72,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_about.htm,,0,0,0,0,3,0,0,0,0,78,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_contact.htm,,0,0,0,0,3,0,0,0,0,80,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_investor.htm,,0,0,0,0,3,0,0,0,0,81,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/cgi.exe,,0,0,0,0,3,0,0,0,0,51,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_press.htm,,0,0,0,0,3,0,0,0,0,78,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_careers.htm,,0,0,0,0,3,0,0,0,0,80,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/subscribe.jsp,,0,0,0,0,3,0,0,0,0,57,0,0,bad
GET,/admin/5426747126540156233,,0,0,0,0,0,0,0,0,0,26,0,1,bad
GET,/my%20documents/4334254300613932666.jsp,,0,0,0,0,1,0,0,0,0,37,0,0,bad
GET,/my%20documents/JohnSmith/543395271288856021.jsp,,0,0,0,0,1,0,0,0,0,46,0,0,bad
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/1982477551809814812.jsp,,0,0,0,0,3,0,0,0,0,67,0,0,bad
POST,/doSubscribe,txtEmail=c%3A%2FWindows%2Fsystem.ini&btnSubmit=Subscribe,0,0,0,0,0,0,0,0,0,12,50,1,bad
POST,/sendFeedback,cfile=c%3A%2FWindows%2Fsystem.ini&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,133,1,bad
POST,/doLogin,uid=c%3A%2FWindows%2Fsystem.ini&passw=ZAP&btnSubmit=Login,0,0,0,0,0,0,0,0,0,8,51,2,bad
GET,/Documents/JohnSmith,,0,0,0,0,0,0,0,0,0,20,0,0,bad
POST,/sendFeedback,cfile=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,178,1,bad
GET,/admin,,0,0,0,0,0,0,0,0,0,6,0,1,bad
GET,/Documents/JohnSmith/index.jsp?content=c%3A%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,60,0,1,bad
GET,/Privacypolicy.jsp?sec=c%3A%2FWindows%2Fsystem.ini&template=US,,0,0,0,0,0,0,0,0,0,56,0,1,bad
POST,/doLogin,uid=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini&passw=ZAP&btnSubmit=Login,0,0,0,0,0,0,0,0,0,8,96,2,bad
POST,/doSubscribe,txtEmail=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini&btnSubmit=Subscribe,0,0,0,0,0,0,0,0,0,12,95,1,bad
POST,/sendFeedback,cfile=c%3A%5CWindows%5Csystem.ini&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,133,1,bad
GET,/Documents/JohnSmith/index.jsp?content=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,105,0,1,bad
GET,/Privacypolicy.jsp?sec=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini&template=US,,0,0,0,0,0,0,0,0,0,101,0,1,bad
GET,/default.jsp?content=c%3A%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,42,0,1,bad
GET,/disclaimer.htm?url=c%3A%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,41,0,1,bad
POST,/sendFeedback,cfile=..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5CWindows%5Csystem.ini&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,178,1,bad
GET,/Documents/JohnSmith/index.jsp?content=c%3A%5CWindows%5Csystem.ini,,0,0,0,0,0,0,0,0,0,60,0,1,bad
POST,/doLogin,uid=c%3A%5CWindows%5Csystem.ini&passw=ZAP&btnSubmit=Login,0,0,0,0,0,0,0,0,0,8,51,2,bad
POST,/doSubscribe,txtEmail=c%3A%5CWindows%5Csystem.ini&btnSubmit=Subscribe,0,0,0,0,0,0,0,0,0,12,50,1,bad
GET,/Privacypolicy.jsp?sec=c%3A%5CWindows%5Csystem.ini&template=US,,0,0,0,0,0,0,0,0,0,56,0,1,bad
GET,/disclaimer.htm?url=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,86,0,1,bad
GET,/default.jsp?content=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,87,0,1,bad
POST,/sendFeedback,cfile=%2Fetc%2Fpasswd&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,123,0,bad
GET,/images/index.jsp?content=c%3A%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,47,0,1,bad
